species,aligned_arm,moseq_cluster,soft_frames
Peromyscus_gossypinus,2,16,2872.298352567548
Peromyscus_gossypinus,2,17,9869.55684717295
Peromyscus_gossypinus,2,18,1376.9000077231026
Peromyscus_gossypinus,2,19,3470.315591955101
Peromyscus_gossypinus,2,20,1931.5490902548074
Peromyscus_gossypinus,2,21,1280.5513292728938
Peromyscus_gossypinus,2,22,9725.865742928741
Peromyscus_gossypinus,2,23,18187.05475676362
Peromyscus_gossypinus,2,24,2285.017903947496
Peromyscus_gossypinus,2,25,1069.0003638671444
Peromyscus_gossypinus,2,26,109928.26998713273
Peromyscus_gossypinus,2,27,2267.6200352975493
Peromyscus_gossypinus,2,28,1275.807666813095
Peromyscus_gossypinus,2,29,833.3331297553646
Peromyscus_gossypinus,2,30,1113.2148602119528
Peromyscus_gossypinus,2,31,11397.090925345165
Peromyscus_gossypinus,2,32,541.3934927085586
Peromyscus_gossypinus,2,33,1604.5441631380972
Peromyscus_gossypinus,2,34,1992.782936648562
Peromyscus_gossypinus,2,35,44216.766828411244
Peromyscus_gossypinus,2,36,24741.71084862547
Peromyscus_gossypinus,2,37,22551.56539894751
Peromyscus_gossypinus,2,38,8047.188007543277
Peromyscus_gossypinus,2,39,2107.175942016334
Peromyscus_gossypinus,2,40,13245.537100990525
Peromyscus_gossypinus,2,41,2009.1901019855366
Peromyscus_gossypinus,2,42,18641.32874704027
Peromyscus_gossypinus,2,43,66.22851166264303
Peromyscus_gossypinus,2,44,7120.239102295953
Peromyscus_gossypinus,2,45,7561.7858684116345
Peromyscus_gossypinus,2,46,6937.71193457276
Peromyscus_gossypinus,2,47,1865.7482101994108
Peromyscus_gossypinus,2,48,2376.713886937716
Peromyscus_gossypinus,2,49,202.10238621542868
Peromyscus_gossypinus,2,50,1130.6871806655276
Peromyscus_gossypinus,2,70,3.6370213054700757
Peromyscus_gossypinus,2,73,20.567039402936977
Peromyscus_gossypinus,2,78,0.6923231286096778
Peromyscus_gossypinus,2,84,25.829126127380984
Peromyscus_gossypinus,2,92,33.55877241322253
Peromyscus_gossypinus,2,94,21.18498189283383
Peromyscus_leucopus,1,0,42047.90122066572
Peromyscus_leucopus,1,1,36226.25534803082
Peromyscus_leucopus,1,2,47444.27525450607
Peromyscus_leucopus,1,3,20484.071456262227
Peromyscus_leucopus,1,4,45761.16005274598
Peromyscus_leucopus,1,5,20009.70940016617
Peromyscus_leucopus,1,6,40503.47164142239
Peromyscus_leucopus,1,7,23538.39708020692
Peromyscus_leucopus,1,8,22211.426566068847
Peromyscus_leucopus,1,9,21285.8239085399
Peromyscus_leucopus,1,10,14402.187940151567
Peromyscus_leucopus,1,11,11068.517750945426
Peromyscus_leucopus,1,12,25408.69438986348
Peromyscus_leucopus,1,13,8794.593829211308
Peromyscus_leucopus,1,14,19463.013019437898
