global_id,species,source_individual_id,component,mean,std,variance,q01,q99
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,57,-5.236795186647214e-05,0.001761397230438888,3.1025203952594893e-06,-0.0042475580051541326,0.004127881452441218
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,58,-7.450992416124791e-05,0.001787945511750877,3.1967490485840244e-06,-0.004241378977894783,0.004191922135651113
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,59,0.00012501924356911331,0.0018099790904670954,3.2760244721430354e-06,-0.004129025731235743,0.004489353206008676
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,60,-5.4587944759987295e-05,0.0017384594539180398,3.022241344297072e-06,-0.004292277563363314,0.0039558592252433335
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,61,3.928500518668443e-06,0.0015875750686973333,2.520394446037244e-06,-0.003762790597975254,0.0038847829401493163
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,62,0.00016870509716682136,0.0016354420222342014,2.674670668056933e-06,-0.003803563201799989,0.00393683709204197
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,63,0.00010163721162825823,0.0016915386077016592,2.8613028462132206e-06,-0.0037360773608088494,0.004286536946892741
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,64,-5.336279718903825e-05,0.0017053348710760474,2.908166834458825e-06,-0.00406570615246892,0.004198812339454896
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,65,0.0001623582938918844,0.0016084983944892883,2.5872670903481776e-06,-0.0036655626259744166,0.00392675828188658
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,66,-2.289373924213578e-06,0.0015756770735606551,2.4827581910358276e-06,-0.0038598138745874165,0.003683903682976968
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,67,-0.00013757773558609188,0.0015863737789914012,2.5165816168737365e-06,-0.003777078986167908,0.0038179295882582666
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,68,-0.00021968549117445946,0.0015751123428344727,2.4809789920254843e-06,-0.0039478734880685805,0.003481385419145227
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,69,-7.683561852900311e-05,0.0014480272075161338,2.0967827367712744e-06,-0.003538903398439288,0.0033007893338799477
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,70,-0.0001522496750112623,0.0015338236698880792,2.3526149561803322e-06,-0.0037158667761832474,0.0035727477632463
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,71,-1.882877404568717e-05,0.001498440746217966,2.2453248220699606e-06,-0.0037279458064585925,0.003532113460823895
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,72,0.00012631589197553694,0.001462143729440868,2.137864385076682e-06,-0.0033672305010259153,0.003659001588821411
